Datum,Jahr,Monat,Effektiver Jahreszins,S&P500 Return,10YGerman Bond Return,Inflation,Einlagefazilität,Hauptrefinanzierungsgeschäft,ifo Geschäftserwartung (Deutschland),ifo Geschäftsklima (Deutschland) ,ifo Geschäftsklima (Vearbeitendes Gewerbe),ifo Geschäftsklima (Bauhauptgewerbe),CCI,10 Jahre Sollzinsbindung,15 Jahre Sollzinsbindung
2023-08-01,2023,8,4.19,-1.77,2.471,6.1,3.5,4.0,-26.4,-12.4,-15.9,-29.5,-15.2,3.91,4.0
2023-09-01,2023,9,4.17,-4.87,2.838,4.5,3.75,4.25,-24.4,-11.4,-14.8,-32.0,-15.9,3.91,4.09
2023-10-01,2023,10,4.22,-2.2,2.809,3.8,4.0,4.5,-22.3,-9.9,-15.7,-31.4,-15.5,4.03,4.16
2023-11-01,2023,11,4.27,8.92,2.449,3.2,4.0,4.5,-21.2,-9.1,-13.0,-29.5,-16.5,4.23,4.36
2023-12-01,2023,12,4.12,4.42,2.028,3.7,4.0,4.5,-21.8,-10.4,-16.5,-33.0,-14.0,3.87,4.04
2024-01-01,2024,1,3.9,1.59,2.161,2.9,4.0,4.5,-23.3,-13.0,-15.0,-34.2,-17.3,3.42,3.56
2024-02-01,2024,2,3.92,5.17,2.401,2.5,4.0,4.5,-22.1,-12.3,-16.7,-33.2,-14.3,3.52,3.62
2024-03-01,2024,3,3.88,3.1,2.293,2.2,4.0,4.5,-16.9,-8.3,-10.5,-31.4,-13.4,3.61,3.69
2024-04-01,2024,4,3.91,-4.16,2.5895,2.2,4.0,4.5,-12.9,-5.4,-9.6,-29.1,-10.1,3.55,3.64
2024-05-01,2024,5,3.96,4.8,2.663,2.4,4.0,4.5,-12.4,-5.7,-7.9,-26.7,-9.8,3.66,3.76
2024-06-01,2024,6,3.99,3.47,2.485,2.2,4.0,4.5,-15.1,-7.2,-10.3,-26.7,-9.9,3.72,3.82
2024-07-01,2024,7,3.97,1.13,2.302,2.3,3.75,4.25,-17.7,-9.8,-14.3,-27.5,-7.7,3.67,3.76
2024-08-01,2024,8,3.87,2.28,2.29,1.9,3.75,4.25,-18.4,-10.9,-17.9,-27.0,-9.9,3.6,3.72
2024-09-01,2024,9,3.78,2.02,2.131,1.6,3.75,4.25,-18.1,-13.0,-20.8,-26.1,-11.0,3.37,3.48
2024-10-01,2024,10,3.69,-0.99,2.3915,2.0,3.5,3.65,-17.1,-11.0,-20.8,-26.0,-9.0,3.31,3.44
2024-11-01,2024,11,3.65,5.73,2.087,2.2,3.25,3.4,-17.1,-12.6,-21.7,-28.7,-11.4,3.28,3.41
2024-12-01,2024,12,3.59,-2.5,2.362,2.6,3.25,3.4,-22.5,-14.6,-24.8,-26.2,-10.5,3.23,3.36
2025-01-01,2025,1,3.56,2.7,2.459,2.3,3.0,3.15,-22.4,-13.5,-24.8,-27.5,-11.9,3.16,3.26
2025-02-01,2025,2,3.63,-1.42,2.3865,2.3,3.0,3.15,-20.1,-13.5,-22.0,-26.6,-11.4,3.5,3.59
2025-03-01,2025,3,3.64,-5.75,2.727,2.2,2.75,2.9,-16.1,-10.5,-16.8,-23.4,-10.1,3.43,3.53
2025-04-01,2025,4,3.73,-0.76,2.441,2.1,2.5,2.65,-17.0,-10.3,-18.4,-21.5,-10.7,3.68,3.82
2025-05-01,2025,5,3.7,6.15,2.509,2.1,2.25,2.4,-13.6,-8.8,-14.2,-18.1,-8.7,3.56,3.69
2025-06-01,2025,6,3.72,4.96,2.597,2.0,2.25,2.4,-10.3,-7.0,-14.2,-15.2,-8.8,3.57,3.7
2025-07-01,2025,7,3.72,2.17,2.693,2.0,2.0,2.15,-9.7,-6.4,-12.1,-14.4,-8.4,3.57,3.69
2025-08-01,2025,8,3.76,1.91,2.7222,2.2,2.0,2.15,-8.4,-5.8,-12.5,-15.7,-10.6,3.64,3.82
2025-09-01,2025,9,3.78,3.53,2.712,2.4,2.0,2.15,-11.8,-8.3,-13.2,-15.0,-9.3,3.67,3.86
