Datum;S&P500 Return
01.06.2004;1.79%
01.05.2004;1.21%
01.04.2004;-1.68%
01.03.2004;-1.63%
01.02.2004;1.22%
01.01.2004;1.73%
01.12.2003;5.07%
01.11.2003;0.71%
01.10.2003;5.49%
01.09.2003;-1.19%
01.08.2003;1.79%
01.07.2003;1.62%
01.06.2003;1.13%
01.05.2003;5.09%
01.04.2003;8.1%
01.03.2003;0.84%
01.02.2003;-1.71%
01.01.2003;-2.74%
