DATE;TIME PERIOD;HICP
31.08.2010;2010Aug;1.0
30.09.2010;2010Sep;01. Feb
31.10.2010;2010Oct;01. Mrz
30.11.2010;2010Nov;01. Mai
31.12.2010;2010Dec;01. Aug
31.01.2011;2011Jan;2.0
28.02.2011;2011Feb;02. Mrz
31.03.2011;2011Mar;02. Apr
30.04.2011;2011Apr;02. Jul
31.05.2011;2011May;02. Mai
30.06.2011;2011Jun;02. Apr
31.07.2011;2011Jul;02. Jun
31.08.2011;2011Aug;02. Mai
30.09.2011;2011Sep;02. Aug
31.10.2011;2011Oct;02. Aug
30.11.2011;2011Nov;02. Jul
31.12.2011;2011Dec;02. Feb
31.01.2012;2012Jan;02. Apr
29.02.2012;2012Feb;02. Jun
31.03.2012;2012Mar;02. Mrz
30.04.2012;2012Apr;02. Feb
31.05.2012;2012May;02. Jan
30.06.2012;2012Jun;01. Sep
31.07.2012;2012Jul;01. Sep
31.08.2012;2012Aug;02. Mrz
30.09.2012;2012Sep;02. Feb
31.10.2012;2012Oct;02. Jan
30.11.2012;2012Nov;01. Sep
31.12.2012;2012Dec;02. Jan
31.01.2013;2013Jan;01. Sep
28.02.2013;2013Feb;01. Aug
31.03.2013;2013Mar;01. Sep
30.04.2013;2013Apr;01. Jan
31.05.2013;2013May;01. Mai
30.06.2013;2013Jun;2.0
31.07.2013;2013Jul;2.0
31.08.2013;2013Aug;01. Mai
30.09.2013;2013Sep;01. Mai
31.10.2013;2013Oct;01. Feb
30.11.2013;2013Nov;01. Jun
31.12.2013;2013Dec;01. Feb
31.01.2014;2014Jan;01. Jan
28.02.2014;2014Feb;1.0
31.03.2014;2014Mar;0.7
30.04.2014;2014Apr;01. Jan
31.05.2014;2014May;0.7
30.06.2014;2014Jun;0.9
31.07.2014;2014Jul;0.7
31.08.2014;2014Aug;0.8
30.09.2014;2014Sep;0.8
31.10.2014;2014Oct;0.7
30.11.2014;2014Nov;0.5
31.12.2014;2014Dec;0.1
31.01.2015;2015Jan;-0.5
28.02.2015;2015Feb;-0.2
31.03.2015;2015Mar;0.3
30.04.2015;2015Apr;1.0
31.05.2015;2015May;01. Jun
30.06.2015;2015Jun;01. Jan
31.07.2015;2015Jul;01. Mrz
31.08.2015;2015Aug;01. Jan
30.09.2015;2015Sep;0.8
31.10.2015;2015Oct;01. Feb
30.11.2015;2015Nov;0.2
31.12.2015;2015Dec;0.2
31.01.2016;2016Jan;0.4
29.02.2016;2016Feb;-0.1
31.03.2016;2016Mar;0.1
30.04.2016;2016Apr;-0.3
31.05.2016;2016May;-0.1
30.06.2016;2016Jun;0.1
31.07.2016;2016Jul;0.3
31.08.2016;2016Aug;0.3
30.09.2016;2016Sep;0.6
31.10.2016;2016Oct;0.7
30.11.2016;2016Nov;0.8
31.12.2016;2016Dec;01. Jun
31.01.2017;2017Jan;01. Jul
28.02.2017;2017Feb;02. Jan
31.03.2017;2017Mar;01. Mai
30.04.2017;2017Apr;2.0
31.05.2017;2017May;01. Mrz
30.06.2017;2017Jun;01. Jul
31.07.2017;2017Jul;01. Jul
31.08.2017;2017Aug;01. Sep
30.09.2017;2017Sep;01. Sep
31.10.2017;2017Oct;01. Mai
30.11.2017;2017Nov;01. Jul
31.12.2017;2017Dec;01. Mai
31.01.2018;2018Jan;01. Mai
28.02.2018;2018Feb;01. Feb
31.03.2018;2018Mar;01. Jul
30.04.2018;2018Apr;01. Mrz
31.05.2018;2018May;02. Mai
30.06.2018;2018Jun;02. Jan
31.07.2018;2018Jul;02. Feb
31.08.2018;2018Aug;02. Jan
30.09.2018;2018Sep;02. Feb
31.10.2018;2018Oct;02. Jun
30.11.2018;2018Nov;02. Feb
31.12.2018;2018Dec;01. Jul
31.01.2019;2019Jan;01. Jul
28.02.2019;2019Feb;01. Jul
31.03.2019;2019Mar;01. Apr
30.04.2019;2019Apr;02. Jan
31.05.2019;2019May;01. Mrz
30.06.2019;2019Jun;01. Mai
31.07.2019;2019Jul;01. Jan
31.08.2019;2019Aug;1.0
30.09.2019;2019Sep;0.9
31.10.2019;2019Oct;0.9
30.11.2019;2019Nov;01. Feb
31.12.2019;2019Dec;01. Mai
31.01.2020;2020Jan;01. Jun
29.02.2020;2020Feb;01. Jul
31.03.2020;2020Mar;01. Mrz
30.04.2020;2020Apr;0.8
31.05.2020;2020May;0.5
30.06.2020;2020Jun;0.8
31.07.2020;2020Jul;0.0
31.08.2020;2020Aug;-0.1
30.09.2020;2020Sep;-0.4
31.10.2020;2020Oct;-0.5
30.11.2020;2020Nov;-0.7
31.12.2020;2020Dec;-0.7
31.01.2021;2021Jan;01. Jun
28.02.2021;2021Feb;01. Jun
31.03.2021;2021Mar;2.0
30.04.2021;2021Apr;02. Jan
31.05.2021;2021May;02. Apr
30.06.2021;2021Jun;02. Jan
31.07.2021;2021Jul;03. Jan
31.08.2021;2021Aug;03. Apr
30.09.2021;2021Sep;04. Jan
31.10.2021;2021Oct;04. Jun
30.11.2021;2021Nov;6.0
31.12.2021;2021Dec;05. Jul
31.01.2022;2022Jan;05. Jan
28.02.2022;2022Feb;05. Mai
31.03.2022;2022Mar;07. Jun
30.04.2022;2022Apr;07. Aug
31.05.2022;2022May;08. Jul
30.06.2022;2022Jun;08. Feb
31.07.2022;2022Jul;08. Mai
31.08.2022;2022Aug;08. Aug
30.09.2022;2022Sep;10. Sep
31.10.2022;2022Oct;11. Jun
30.11.2022;2022Nov;11. Mrz
31.12.2022;2022Dec;09. Jun
31.01.2023;2023Jan;09. Feb
28.02.2023;2023Feb;09. Mrz
31.03.2023;2023Mar;07. Aug
30.04.2023;2023Apr;07. Jun
31.05.2023;2023May;06. Mrz
30.06.2023;2023Jun;06. Aug
31.07.2023;2023Jul;06. Mai
31.08.2023;2023Aug;06. Apr
30.09.2023;2023Sep;04. Mrz
31.10.2023;2023Oct;3.0
30.11.2023;2023Nov;02. Mrz
31.12.2023;2023Dec;03. Aug
31.01.2024;2024Jan;03. Jan
29.02.2024;2024Feb;02. Jul
31.03.2024;2024Mar;02. Mrz
30.04.2024;2024Apr;02. Apr
31.05.2024;2024May;02. Aug
30.06.2024;2024Jun;02. Mai
31.07.2024;2024Jul;02. Jun
31.08.2024;2024Aug;2.0
30.09.2024;2024Sep;01. Aug
31.10.2024;2024Oct;02. Apr
30.11.2024;2024Nov;02. Apr
31.12.2024;2024Dec;02. Aug
31.01.2025;2025Jan;02. Aug
28.02.2025;2025Feb;02. Jun
31.03.2025;2025Mar;02. Mrz
30.04.2025;2025Apr;02. Feb
31.05.2025;2025May;02. Jan
30.06.2025;2025Jun;2.0
31.07.2025;2025Jul;01. Aug
31.08.2025;2025Aug;02. Jan
30.09.2025;2025Sep;02. Apr
31.10.2025;2025Oct;02. Mrz
30.11.2025;2025Nov;02. Jun
